name,category,type,district,wgs_lng,wgs_lat
圣元网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977466,30.724803
雪域缘网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977927,30.724155
真人野战CS,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.979462,30.724605
动力雄健身房(中海店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.978801,30.723855
海帆亲子游泳俱乐部(中海国际店),sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.9788,30.723888
成都动力雄健身中心(中海店),sports,体育休闲服务;运动场馆;健身中心,金牛区,103.97745,30.725409
假面先生密室逃脱(中海国际店),sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.978683,30.724228
麦克星球儿童创客空间,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.978759,30.722891
菲动儿童武道体能中心,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.979994,30.722902
嘉汇天地公园网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,103.977469,30.725329
中国红青少年体育俱乐部,sports,体育休闲服务;体育休闲服务场所;体育休闲服务场所,金牛区,103.979314,30.72316
四宿天元会所,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.988183,30.721307
鸿运庄游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,103.988021,30.722721
四宿天元,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.988261,30.720949
大道客厅,sports,体育休闲服务;娱乐场所;娱乐场所,金牛区,103.988742,30.729122
官渡度假村,sports,体育休闲服务;度假疗养场所;度假村,金牛区,103.986711,30.725211
正成拉斐游泳池,sports,体育休闲服务;运动场馆;游泳馆,金牛区,103.995555,30.722081
云轩商务会所,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.00111,30.721592
绿色阳台,sports,通行设施;临街院门;临街院正门|体育休闲服务;休闲场所;休闲场所,金牛区,104.012514,30.727943
铸信羽毛球俱乐部,sports,体育休闲服务;运动场馆;羽毛球场,金牛区,104.009405,30.720373
四川青年艺术剧院,sports,体育休闲服务;影剧院;剧场,金牛区,104.020945,30.721471
东方会所,sports,体育休闲服务;休闲场所;休闲场所|住宿服务;住宿服务相关;住宿服务相关,金牛区,104.019016,30.727275
浪达浪,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.015023,30.720877
成都欢乐谷,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.03218,30.723347
成都欢乐谷(3号门),sports,体育休闲服务;休闲场所;游乐场|通行设施;临街院门;临街院门,金牛区,104.029643,30.720752
华侨城大剧院,sports,体育休闲服务;影剧院;剧场,金牛区,104.032084,30.721924
华侨城高尔夫会所,sports,体育休闲服务;高尔夫相关;高尔夫球场,金牛区,104.027321,30.725787
欧风街4D影院,sports,体育休闲服务;影剧院;电影院,金牛区,104.030529,30.722795
天旋地转,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032406,30.725488
魔幻剧场,sports,体育休闲服务;影剧院;剧场,金牛区,104.029662,30.724971
幽灵古堡,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030986,30.722866
欢乐转马,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033168,30.724076
疯狂老鼠,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029137,30.725367
森林剧场,sports,体育休闲服务;影剧院;剧场,金牛区,104.031554,30.726072
抓壮丁剧场,sports,体育休闲服务;影剧院;剧场,金牛区,104.031959,30.728578
魔幻城堡,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029944,30.725239
金沙探险,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030797,30.723514
天地双雄,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033067,30.724214
遥控船,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033167,30.724666
小火车,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028655,30.725105
欢乐水炮,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031178,30.72733
冰雪世界,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031156,30.728231
十拿九稳,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029406,30.725489
飞跃地中海,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030125,30.7233
欢乐使者,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032677,30.722852
酷宝王国儿童乐园,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.031272,30.720855
极速空间站,sports,体育休闲服务;休闲场所;游乐场|体育休闲服务;运动场馆;运动场所,金牛区,104.033571,30.721447
能量风暴,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.033565,30.724349
转转杯,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.030526,30.724833
疯狂巴士,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.028709,30.725353
北极探险,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.029923,30.724884
水上舞台,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.032074,30.723483
成都欢乐谷(西北门),sports,体育休闲服务;休闲场所;游乐场|通行设施;临街院门;临街院门,金牛区,104.029703,30.726954
