name,category,type,district,wgs_lng,wgs_lat,weight
稻草人农家乐,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.023668,30.727359,1
FF纯K.PARTY,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.036073,30.722662,2
龙卷风,sports,体育休闲服务;休闲场所;游乐场,金牛区,104.034923,30.725684,4
临水雅园,sports,餐饮服务;中餐厅;特色/地方风味餐厅|体育休闲服务;休闲场所;休闲场所,金牛区,104.043327,30.726222,1
金府量贩KTV,sports,体育休闲服务;娱乐场所;KTV,金牛区,104.04133,30.719527,2
盖尔森国际击剑中心,sports,体育休闲服务;运动场馆;运动场所,金牛区,104.037068,30.724067,1
西丰网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.052764,30.724995,2
红房子农家乐,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.046311,30.719415,1
众横时代网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.04917,30.72658,2
政通路社区老年活动中心,sports,体育休闲服务;休闲场所;休闲场所,金牛区,104.048809,30.727653,1
杨柳新屯小区网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.047018,30.726799,1
汇龙の网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.060116,30.725278,2
残之缘网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.056161,30.724112,2
浩丰网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.059413,30.724091,1
天然居,sports,体育休闲服务;娱乐场所;棋牌室,金牛区,104.062129,30.729007,1
星空鑫铉宇网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.067129,30.720187,1
旻轩网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.06605,30.722803,2
午逅网咖,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.075153,30.723195,2
凤凰绿茵足球俱乐部,sports,体育休闲服务;运动场馆;足球场,成华区,104.089718,30.722841,1
兄弟网吧,sports,体育休闲服务;娱乐场所;网吧,金牛区,104.100116,30.728967,1
