name,category,type,district,wgs_lng,wgs_lat,weight
24小时自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,103.997356,30.709724,4
中国农业银行(成都蜀西支行),finance,金融保险服务;银行;中国农业银行,金牛区,103.994,30.711962,2
中国建设银行ATM,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.002174,30.711714,2
中国建设银行ATM(科兴南路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.998123,30.714496,1
中国建设银行24小时自助银行(蜀西路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,103.996081,30.710631,1
郦湾国际酒店-ATM,finance,金融保险服务;自动提款机;自动提款机,金牛区,103.996621,30.715663,2
24自助银行服务,finance,金融保险服务;自动提款机;自动提款机,金牛区,104.006048,30.712038,3
中国建设银行(成都迎宾支行),finance,金融保险服务;银行;中国建设银行,金牛区,104.007807,30.709542,2
中国建设银行(成都金域支行),finance,金融保险服务;银行;中国建设银行,金牛区,104.009371,30.713354,2
中国农业银行(迎宾大道支行),finance,金融保险服务;银行;中国农业银行,金牛区,104.008005,30.712934,2
中国建设银行ATM(金卉路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.01643,30.712028,1
上海浦东发展银行ATM(长兰路),finance,金融保险服务;自动提款机;上海浦东发展银行ATM,金牛区,104.033318,30.709541,2
华夏银行(社区支行),finance,金融保险服务;银行;华夏银行,金牛区,104.032062,30.714501,4
大连银行,finance,金融保险服务;银行;银行,金牛区,104.033258,30.714854,5
交通银行ATM(金府路),finance,金融保险服务;自动提款机;交通银行ATM,金牛区,104.026931,30.710552,1
中国建设银行24小时自助银行(金府路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.02601,30.710022,1
中国民生银行24小时自助银行(华丰路),finance,金融保险服务;自动提款机;中国民生银行ATM,金牛区,104.027294,30.717457,1
华夏银行24小时自助银行(万贯机电大道一路),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,104.027714,30.71381,1
中国平安银行,finance,金融保险服务;银行;平安银行,金牛区,104.036251,30.711596,4
个人贷款业务受理点,finance,金融保险服务;银行;银行,金牛区,104.038251,30.709307,8
成都农商银行(金府分理处),finance,金融保险服务;银行;农村商业银行,金牛区,104.038134,30.715688,2
中国银行(交大路支行),finance,金融保险服务;银行;中国银行,金牛区,104.03488,30.712975,2
浙商银行(成都金牛支行),finance,金融保险服务;银行;银行,金牛区,104.037849,30.716602,2
中国建设银行24小时自助银行(长和路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.042791,30.715629,1
中国工商银行24小时自助银行(长青路),finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.037512,30.712323,1
平安银行ATM(新泉路),finance,金融保险服务;自动提款机;平安银行ATM,金牛区,104.042018,30.718151,1
成都市农村商业银行ATM(长久新城长乐苑西),finance,金融保险服务;自动提款机;农村商业银行ATM,金牛区,104.037861,30.714234,1
中国建设银行(星辰路储蓄所),finance,金融保险服务;银行;中国建设银行,金牛区,104.044548,30.709783,2
中国工商银行24小时自助银行(星河路),finance,金融保险服务;自动提款机;中国工商银行ATM,金牛区,104.045872,30.709799,1
平安银行ATM(九里堤西路),finance,金融保险服务;自动提款机;平安银行ATM,金牛区,104.044572,30.713364,1
招商银行(成都五福桥东街支行),finance,金融保险服务;银行;招商银行,金牛区,104.060779,30.711983,2
中国建设银行(五福桥分理处),finance,金融保险服务;银行;中国建设银行,金牛区,104.06293,30.714892,4
中国工商银行(恒业国际支行),finance,金融保险服务;银行;中国工商银行,金牛区,104.061156,30.710493,2
贵阳银行(成都金牛支行),finance,金融保险服务;银行;银行,金牛区,104.056443,30.717092,3
成都农商银行(量力支行),finance,金融保险服务;银行;农村商业银行,成华区,104.070586,30.712066,2
大连银行(五块石小微支行),finance,金融保险服务;银行;银行,金牛区,104.064628,30.71356,5
攀技花市商业银行ATM,finance,金融保险服务;自动提款机;农村商业银行ATM,金牛区,104.067387,30.7143,3
成都银行ATM(花径路),finance,金融保险服务;自动提款机;自动提款机,成华区,104.069577,30.712704,1
中国建设银行24小时自助银行(赛云台北路),finance,金融保险服务;自动提款机;中国建设银行ATM,金牛区,104.066055,30.710014,1
中国民生银行24小时自助银行(北城盛世北),finance,金融保险服务;自动提款机;中国民生银行ATM,金牛区,104.065467,30.712791,1
中国银行24小时自助银行(五福桥东路),finance,金融保险服务;自动提款机;中国银行ATM,金牛区,104.065601,30.714491,1
中国建设银行24小时自助银行(中环路洞子口路段),finance,金融保险服务;自动提款机;中国建设银行ATM,成华区,104.069249,30.718811,1
成都农商银行(百盛大厦支行),finance,金融保险服务;银行;农村商业银行,成华区,104.079994,30.713313,3
华夏银行ATM(双耀一路),finance,金融保险服务;自动提款机;华夏银行ATM,金牛区,104.074326,30.718422,1
24h自助银行服务,finance,金融保险服务;自动提款机;自动提款机,成华区,104.090106,30.715646,2
中国银行(成都羊子山支行),finance,金融保险服务;银行;中国银行,成华区,104.09298,30.710792,5
中国银行ATM(双荆路),finance,金融保险服务;自动提款机;中国银行ATM,成华区,104.089014,30.714925,2
中国建设银行ATM(荆竹坝路),finance,金融保险服务;自动提款机;中国建设银行ATM,成华区,104.091915,30.715063,1
中国银行ATM(中环路双荆路路段),finance,金融保险服务;自动提款机;中国银行ATM,成华区,104.091788,30.712451,2
华泰保险股份有限公司(中环路双荆路路段),finance,金融保险服务;保险公司;华泰财产保险股份有限公司,成华区,104.094821,30.71272,3
24h自助银行服务,finance,金融保险服务;自动提款机;自动提款机,成华区,104.101826,30.716281,3
平安银行(成都北城支行),finance,金融保险服务;银行;平安银行,成华区,104.09432,30.711476,2
招商银行(昭觉寺南路支行),finance,金融保险服务;银行;招商银行,成华区,104.102854,30.719118,2
招商银行(荆竹中路小微支行),finance,金融保险服务;银行;招商银行,成华区,104.101865,30.71767,1
中国银行ATM(羊子山西路),finance,金融保险服务;自动提款机;中国银行ATM,成华区,104.094216,30.709459,1
中国建设银行24小时自助银行,finance,金融保险服务;自动提款机;中国建设银行ATM,成华区,104.0968,30.711232,2
