name,category,type,district,wgs_lng,wgs_lat,weight
避风塘(光华大道一段),catering,餐饮服务;冷饮店;冷饮店,青羊区,103.978362,30.67133,1
聚友茶馆(苏坡中路),catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.983003,30.673216,1
张妈砂锅串串,catering,餐饮服务;中餐厅;火锅店,青羊区,103.974422,30.672288,2
LV串串香(中鹏店),catering,餐饮服务;中餐厅;火锅店,青羊区,103.980831,30.674637,1
乐山叶儿粑泡粑,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,103.981099,30.672196,1
上海周记(蜀清路店),catering,餐饮服务;糕饼店;糕饼店,青羊区,103.983116,30.678184,1
彭姐鸭头,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.978991,30.671887,1
陈记切面店,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.981642,30.672561,1
欣欣冒菜,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.975214,30.673013,1
青磨房,catering,餐饮服务;外国餐厅;泰国/越南菜品餐厅,青羊区,103.992942,30.678894,16
吃铲花,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.991618,30.674356,57
添一碗牛肉馆,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.992951,30.673156,2
康定红酒店-茶,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.991477,30.670027,3
米家,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.991137,30.672195,34
宽庭(光华大道店),catering,餐饮服务;中餐厅;四川菜(川菜),青羊区,103.992976,30.671639,1
真实在,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.988162,30.673658,27
裕源茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.989192,30.673454,4
百宗杀牛场原味火锅(金沙店),catering,餐饮服务;中餐厅;火锅店,青羊区,103.986481,30.678048,1
清波茶府,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.985248,30.67731,5
第三极,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.99174,30.677852,2
香韵典故,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.989564,30.670309,2
龙堂茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.989217,30.669529,4
百姓院子,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.985991,30.670389,1
王婆仑,catering,餐饮服务;快餐厅;快餐厅,青羊区,103.989224,30.671925,1
缑记家常菜,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.987054,30.670973,1
西豪苑,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.983916,30.671156,1
竹青苑,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.986244,30.675154,1
逸茶馆,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.992448,30.67604,1
汇友茶舍,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.987268,30.669507,5
天地缘茶坊(东顺路),catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.989682,30.674872,1
石棉烧烤(青森街),catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,103.98821,30.672236,3
勇士部落咖啡餐吧,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,103.993772,30.673078,2
青羊区王华小吃店,catering,餐饮服务;快餐厅;快餐厅,青羊区,103.986029,30.677667,1
面王,catering,餐饮服务;快餐厅;快餐厅,青羊区,103.998057,30.672102,201
果然V,catering,餐饮服务;冷饮店;冷饮店,青羊区,103.996706,30.678873,97
重庆风味小吃,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.998696,30.678112,6
马掌门串天下,catering,餐饮服务;中餐厅;火锅店,青羊区,104.00325,30.679179,9
拂晓,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.001372,30.6744,28
云雾茶坊,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.00115,30.678963,11
雨河茶舍,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.000772,30.676708,4
西村小卤,catering,餐饮服务;快餐厅;快餐厅,青羊区,103.999642,30.675434,13
大渔铁板,catering,餐饮服务;外国餐厅;西餐厅(综合风味),青羊区,104.000639,30.677628,4
大习火锅,catering,餐饮服务;中餐厅;火锅店,青羊区,103.997725,30.676908,12
乡村基(西单商场店),catering,餐饮服务;快餐厅;快餐厅,青羊区,103.998308,30.676258,2
快食尚,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.996637,30.674998,10
糊涂餐吧,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.002846,30.672149,5
盐帮菜,catering,餐饮服务;中餐厅;四川菜(川菜),青羊区,104.001988,30.676843,9
沈小福(西单店),catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.000978,30.675306,3
面夫人(苏坡立交店),catering,餐饮服务;快餐厅;快餐厅,青羊区,103.997952,30.675605,3
变脸面,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.997024,30.675716,2
久味香面馆,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,103.995735,30.669664,2
浅草咖啡,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,104.002722,30.677914,3
埃米莉,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,103.995766,30.67683,4
千元和茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.003488,30.675055,2
金船坊茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.001503,30.676054,5
方姐茶吧,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,103.99505,30.671473,2
麻辣辣,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.996115,30.677606,1
大锅庄风干耗牛肉,catering,餐饮服务;中餐厅;中餐厅|购物服务;购物相关场所;购物相关场所,青羊区,104.001835,30.673244,1
红冒菜,catering,餐饮服务;中餐厅;中餐厅,青羊区,103.998259,30.674705,1
金沙饭店,catering,餐饮服务;中餐厅;四川菜(川菜),青羊区,104.004293,30.678468,8
喜舍,catering,餐饮服务;休闲餐饮场所;休闲餐饮场所|餐饮服务;茶艺馆;茶艺馆,青羊区,104.006831,30.670718,24
奇乐贝尔西饼店(清江中路),catering,餐饮服务;糕饼店;糕饼店,青羊区,104.008502,30.675053,4
重庆渝风老火锅,catering,餐饮服务;中餐厅;火锅店,青羊区,104.006682,30.675275,2
麻辣抄手,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.01165,30.674473,20
吉香隆江猪脚饭,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.005599,30.67161,8
澄乡茶府,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.004503,30.671777,11
食客时尚餐厅,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.008691,30.676753,4
枫林小炒,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.010875,30.669702,4
西南财经大学4食堂,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.008804,30.671764,2
宜宾燃面(金沙店),catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.009671,30.674088,6
昂世宴府,catering,餐饮服务;中餐厅;综合酒楼,青羊区,104.009855,30.678722,3
顺道小厨,catering,餐饮服务;中餐厅;中餐厅,青羊区,104.005972,30.678738,5
哥伦布冰淇淋(清江中路),catering,餐饮服务;冷饮店;冷饮店,青羊区,104.008259,30.674423,2
佐藤日式卤肉饭,catering,餐饮服务;快餐厅;快餐厅,青羊区,104.007905,30.676486,1
谷坑咖啡,catering,餐饮服务;咖啡厅;咖啡厅,青羊区,104.004996,30.674931,1
味窝,catering,餐饮服务;中餐厅;特色/地方风味餐厅,青羊区,104.012352,30.675713,3
圆圆面包,catering,餐饮服务;糕饼店;糕饼店,青羊区,104.005816,30.674821,1
金色大茶楼,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.006454,30.672378,1
溪水阁,catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.007016,30.678114,5
同福茶坊(光华馨地南),catering,餐饮服务;茶艺馆;茶艺馆,青羊区,104.007466,30.670444,2
