name,category,type,district,wgs_lng,wgs_lat,weight
精诚诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.059836,30.728831,4
琪瑞大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.061665,30.725325,3
西部医药集团购销大厅,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.057906,30.719354,2
金牛区善司康药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.073137,30.720663,1
四川康贝大药房(王贾路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.068368,30.728687,1
金牛区双凤诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.077352,30.719954,1
源济棠诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.076646,30.722444,5
李医生诊所(韦家碾三路),medical,医疗保健服务;诊所;诊所,金牛区,104.07562,30.720454,1
九五八七九部队机关医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.098616,30.729009,1
成华兴诚康诊所,medical,医疗保健服务;诊所;诊所,成华区,104.100871,30.719797,1
桐林药房,medical,医疗保健服务;医药保健销售店;药房,成华区,104.1126,30.727612,2
成华区泓川诊所,medical,医疗保健服务;诊所;诊所,成华区,104.120834,30.723657,2
成华区日日升药房,medical,医疗保健服务;医药保健销售店;药房,成华区,104.123789,30.725559,4
天乐药房(龙台店),medical,医疗保健服务;医药保健销售店;药房,成华区,104.119315,30.721818,1
普济诊所(东林二路),medical,医疗保健服务;诊所;诊所,成华区,104.129714,30.72225,1
齐顺堂大药房,medical,医疗保健服务;医药保健销售店;药房,成华区,104.136181,30.72808,1
成都街道两代表一委员服务站,medical,医疗保健服务;综合医院;卫生院,成华区,104.152161,30.722877,1
成华智华诊所,medical,医疗保健服务;诊所;诊所,成华区,104.165394,30.718934,13
成都西点颈腰椎病专科医院-住院部,medical,医疗保健服务;综合医院;综合医院,金牛区,103.97311,30.712473,1
泗兴诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.980093,30.709483,5
春升堂大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.982353,30.714917,4
何家村卫生站,medical,医疗保健服务;诊所;诊所,金牛区,103.977415,30.716576,1
胡记洪英诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.986373,30.71258,3
百信药业(三味药店),medical,医疗保健服务;医药保健销售店;药房,金牛区,103.984838,30.714597,2
康维牙科,medical,医疗保健服务;专科医院;口腔医院,金牛区,103.990795,30.711072,9
西线大药房,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.991447,30.713157,1
成都仁一医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.001784,30.716054,9
金牛迎宾诊所,medical,医疗保健服务;诊所;诊所,金牛区,103.999098,30.713203,3
佳乐安医药,medical,医疗保健服务;医药保健销售店;药房,金牛区,103.997783,30.714309,2
花圃牙科(蜀跃路),medical,医疗保健服务;专科医院;口腔医院,金牛区,104.010439,30.71051,2
臻享中医馆,medical,医疗保健服务;诊所;诊所,金牛区,104.010558,30.713861,1
百信药业(尚善堂大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.008078,30.712961,1
福康缘大药房(蜀跃路),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.007904,30.709809,1
金牛金西诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.020471,30.714494,5
金牛区爱民诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.018687,30.712929,3
瑞尔医药,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.016891,30.711512,1
金牛区人民医院,medical,医疗保健服务;综合医院;综合医院,金牛区,104.026414,30.709776,2
民辉诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.034536,30.708302,25
格瑞大药房(华严路店),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.02725,30.717421,1
口腔科,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.042221,30.71708,11
东松平诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.035196,30.711929,4
珍齐口腔,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.038294,30.710799,6
民康药业物流区,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.035495,30.715498,1
金牛欣欣太生诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.039903,30.709157,5
白果林诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.04609,30.715908,4
柏草荟,medical,医疗保健服务;医药保健销售店;医药保健相关,金牛区,104.050407,30.709212,20
济和春,medical,医疗保健服务;专科医院;骨科医院,金牛区,104.044671,30.709223,3
金牛妙手中医诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.047098,30.709578,4
岷江局医院大西南建材城卫生所,medical,医疗保健服务;诊所;诊所,金牛区,104.052071,30.716202,1
四川天乐医药(芳兴大药房),medical,医疗保健服务;医药保健销售店;药房,金牛区,104.057796,30.716088,2
金牛唯尔口腔诊所,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.060757,30.712002,1
宏康诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.062585,30.715137,6
健康长寿诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.05569,30.717405,4
龙一药店,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.06333,30.712888,9
横桥牙科,medical,医疗保健服务;专科医院;口腔医院,金牛区,104.0689,30.710772,26
天键诊所,medical,医疗保健服务;诊所;诊所,成华区,104.068802,30.719034,4
益世堂诊所,medical,医疗保健服务;诊所;诊所,金牛区,104.066058,30.714086,8
中药馆,medical,医疗保健服务;医药保健销售店;药房,金牛区,104.074776,30.718013,11
格瑞大药房(双水店),medical,医疗保健服务;医药保健销售店;药房,成华区,104.080516,30.713355,1
成华夏辉诊所,medical,医疗保健服务;诊所;诊所,成华区,104.076785,30.715795,1
唐胡草药,medical,医疗保健服务;医药保健销售店;药房,成华区,104.081041,30.715128,2
口腔科,medical,医疗保健服务;专科医院;口腔医院,成华区,104.090773,30.715042,29
华仁堂,medical,医疗保健服务;诊所;诊所,成华区,104.095943,30.709534,66
仁仁诊所,medical,医疗保健服务;诊所;诊所,成华区,104.090913,30.717871,1
