name,category,type,district,wgs_lng,wgs_lat,weight
和悦艺术馆,edu,科教文化服务;展览馆;展览馆,金牛区,104.004203,30.721331,1
星高艺艺术培训学校,edu,科教文化服务;培训机构;培训机构,金牛区,104.00526,30.725773,1
青杠社区综合文化活动室,edu,科教文化服务;文化宫;文化宫,金牛区,104.022186,30.728387,1
四川电影电视学院金牛校区,edu,科教文化服务;学校;高等院校,金牛区,104.022154,30.723842,1
人民北路小学·华侨城校区,edu,科教文化服务;学校;小学,金牛区,104.022334,30.722142,2
四川师范大学电影电视学院,edu,科教文化服务;学校;高等院校,金牛区,104.02223,30.725941,1
金苹果华侨城幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,104.021049,30.720288,1
瓦子林幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.013739,30.726809,2
四川电影电视学院(金牛校区)化装系,edu,科教文化服务;学校;高等院校,金牛区,104.021068,30.72139,2
四川电影电视学院金牛校区-图书馆,edu,科教文化服务;图书馆;图书馆,金牛区,104.0207,30.72259,1
四川省变频自动化系统技术研究所,edu,科教文化服务;科研机构;科研机构,金牛区,104.015956,30.725458,1
雅生双语托管,edu,科教文化服务;培训机构;培训机构,金牛区,104.030799,30.72069,3
四川电影电视学院金牛校区(东北门),edu,科教文化服务;学校;高等院校|通行设施;临街院门;临街院门,金牛区,104.023797,30.726605,1
武道联盟,edu,体育休闲服务;运动场馆;运动场所|科教文化服务;培训机构;培训机构,金牛区,104.026747,30.729211,3
红彩翔教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.04087,30.719769,7
成都华侨城国际影像艺术中心,edu,科教文化服务;展览馆;展览馆,金牛区,104.036998,30.724353,1
华侨城(成都)视觉艺术中心,edu,科教文化服务;展览馆;展览馆,金牛区,104.035642,30.722903,1
四川民族教育报社,edu,科教文化服务;传媒机构;报社,金牛区,104.043517,30.726393,2
成都金牛区职教中心,edu,科教文化服务;学校;职业技术学校,金牛区,104.049611,30.72369,5
浣笔学堂,edu,科教文化服务;培训机构;培训机构,金牛区,104.052674,30.724616,10
成都影像艺术馆,edu,科教文化服务;展览馆;展览馆,金牛区,104.043954,30.722967,1
成都市红孩儿幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.049101,30.726179,1
博卡拉顿泉水幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.062737,30.729088,1
源泉幼儿园(和平街),edu,科教文化服务;学校;幼儿园,金牛区,104.061675,30.722981,1
愽卡拉顿泉水幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.060006,30.728977,1
金阳艺术培训,edu,科教文化服务;培训机构;培训机构,金牛区,104.056268,30.72372,1
鸿鹄优翼教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.060073,30.72532,1
萌升教育咨询有限公司,edu,科教文化服务;培训机构;培训机构,金牛区,104.057389,30.724791,1
金立方教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.055444,30.724574,1
云汉网络传媒有限责任公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.059547,30.719952,1
成都川藏行文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.063039,30.724986,1
金草地幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.068638,30.721507,3
一度教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.064644,30.721602,2
泓宇舞蹈,edu,科教文化服务;培训机构;培训机构,金牛区,104.067877,30.719833,1
四川艺彬文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.075179,30.724215,1
梧桐小学校,edu,科教文化服务;学校;小学,金牛区,104.080922,30.720013,2
梦工坊,edu,科教文化服务;培训机构;培训机构,金牛区,104.074154,30.720592,1
静语斋青少年书画培训,edu,科教文化服务;培训机构;培训机构,金牛区,104.074204,30.723396,1
金韦社区未成年人心理辅导中心,edu,科教文化服务;培训机构;培训机构,金牛区,104.076633,30.720388,1
成都市成华区红花学校,edu,科教文化服务;学校;小学,成华区,104.086595,30.720398,1
蓝天幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.098818,30.725478,1
美当创艺美术馆,edu,科教文化服务;美术馆;美术馆,成华区,104.100952,30.719495,2
光亚儿童学校,edu,科教文化服务;学校;幼儿园,成华区,104.112198,30.724569,2
四川勤思特教育,edu,科教文化服务;培训机构;培训机构,成华区,104.11111,30.728232,2
白莲实验幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.120112,30.722156,2
拱辰白莲小学,edu,科教文化服务;学校;小学,成华区,104.121039,30.723943,1
通威集团水产研究所,edu,科教文化服务;科研机构;科研机构,成华区,104.115754,30.725754,1
启蒙幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.132463,30.726548,1
金太阳幼儿园(熊猫大道),edu,科教文化服务;学校;幼儿园,成华区,104.12717,30.723525,1
幸福域文化传播,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.136378,30.728271,1
成都瑞贝卡文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.145608,30.719822,1
加州阳光田园幼儿园,edu,科教文化服务;学校;幼儿园,成华区,104.1656,30.719106,4
玉珏拉丁舞培训中心,edu,科教文化服务;培训机构;培训机构,成华区,104.163971,30.721631,1
华西卫校护理,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.970242,30.716136,2
五月花烹饪学校,edu,科教文化服务;学校;成人教育,金牛区,103.965621,30.717568,4
成都颖客文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.979588,30.710054,3
瑞河酒店-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,103.976897,30.710504,1
成都联合汽车学校,edu,科教文化服务;学校;学校,金牛区,103.980975,30.71904,2
成都市民道德讲堂,edu,科教文化服务;培训机构;培训机构,金牛区,103.978,30.711037,1
成都哈哈文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.989117,30.717072,1
成都语汇文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.986659,30.719005,1
盛大国际启源文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.988645,30.718887,1
精舞艺术中心,edu,科教文化服务;培训机构;培训机构,金牛区,103.990708,30.711377,3
金科路小学校,edu,科教文化服务;学校;小学,金牛区,103.984264,30.710757,1
金宝宝双语幼儿园(金科苑东街),edu,科教文化服务;学校;幼儿园,金牛区,103.987239,30.713153,1
炼化企业信息化联合实验室,edu,科教文化服务;科研机构;科研机构,金牛区,103.990832,30.718344,1
民族研究所,edu,科教文化服务;科研机构;科研机构,金牛区,103.991245,30.713689,1
艺蒙美术,edu,科教文化服务;培训机构;培训机构,金牛区,103.991747,30.710338,1
艾比斯国际英语,edu,科教文化服务;培训机构;培训机构,金牛区,103.993253,30.711374,1
三都博物馆,edu,科教文化服务;博物馆;博物馆,金牛区,104.002715,30.711805,2
雅风(当代艺术)画廊,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.000685,30.71177,1
金妞妞幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.001249,30.713308,1
消防时代杂志社,edu,科教文化服务;传媒机构;杂志社,金牛区,103.99546,30.717103,1
郦湾国际酒店-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,103.996615,30.715561,1
斯坦福幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,103.996932,30.709724,1
公安部四川消防研究所(金科南路),edu,科教文化服务;科研机构;科研机构,金牛区,103.995595,30.718425,1
戴氏精品堂学校迎宾总校,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,103.997933,30.714423,1
美吉特国际教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.011304,30.709628,2
赋舸学院,edu,科教文化服务;学校;高等院校,金牛区,104.00962,30.716676,5
贝乐机器人,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.007107,30.717166,2
金茜贝尔亲子幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.005385,30.71184,1
迎宾一号-会议厅,edu,科教文化服务;会展中心;会展中心,金牛区,104.005308,30.715013,2
成都新东方烹饪学校金牛宾馆营销办公室,edu,科教文化服务;学校;学校,金牛区,104.013647,30.718105,1
瑞思学科英语(迎宾校区),edu,科教文化服务;培训机构;培训机构,金牛区,104.008777,30.71319,2
众源文化传播有限公司,edu,科教文化服务;传媒机构;传媒机构,金牛区,104.023431,30.714987,1
金桥高级艺术小学,edu,科教文化服务;学校;小学,金牛区,104.019464,30.711017,1
成都市英才学校(跃进校区),edu,科教文化服务;学校;中学,金牛区,104.020971,30.715174,1
跃进村幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.022808,30.712272,2
五彩石幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.019542,30.714663,1
汶川地震灾区发展振兴研究所,edu,科教文化服务;科研机构;科研机构,金牛区,104.017929,30.710616,1
成都伟佳文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.023946,30.709875,1
千华钢管舞塑身减压中心,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.026436,30.715851,2
西部五金机电博览编辑部,edu,科教文化服务;传媒机构;杂志社,金牛区,104.031971,30.714464,1
成都爱乐幼稚园,edu,科教文化服务;学校;幼儿园,金牛区,104.043316,30.708514,6
程门文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.040315,30.717534,1
中传之星,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.038436,30.715692,10
刘理科文化旅游工作室,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.038255,30.717026,2
成都市佛香伽文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.039614,30.715033,1
稚嫩幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.041473,30.710031,3
金蕊教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.04293,30.715579,4
学大教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.034958,30.712777,4
点渧幼儿园,edu,科教文化服务;学校;幼儿园,金牛区,104.041855,30.716999,1
郑州机械研究所,edu,科教文化服务;科研机构;科研机构,金牛区,104.036738,30.713756,1
纽威教育(交大路),edu,科教文化服务;培训机构;培训机构,金牛区,104.036075,30.711418,2
Alice美术教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.041204,30.711198,1
新星教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.042398,30.71801,1
星天艺舞蹈,edu,科教文化服务;培训机构;培训机构,金牛区,104.034942,30.714003,3
电子科技大学九里堤校区,edu,科教文化服务;学校;高等院校,金牛区,104.046862,30.712784,7
酷学堂,edu,科教文化服务;培训机构;培训机构,金牛区,104.044676,30.709441,7
成都市科普场馆,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.05162,30.712084,1
锦西外国语实验小学新桥校区,edu,科教文化服务;学校;小学,金牛区,104.04745,30.715551,1
走遍天下学校,edu,科教文化服务;学校;学校,金牛区,104.048452,30.710744,8
名师园阅览室,edu,科教文化服务;图书馆;图书馆,金牛区,104.046592,30.709449,5
剑桥英语,edu,科教文化服务;培训机构;培训机构,金牛区,104.044632,30.718688,4
新思维,edu,科教文化服务;培训机构;培训机构,金牛区,104.063412,30.712386,23
成都市青少年活动中心(星科北街),edu,科教文化服务;文化宫;文化宫,金牛区,104.053839,30.71247,1
中国乒协西部国际培训中心,edu,科教文化服务;培训机构;培训机构,金牛区,104.054406,30.714336,3
釜玉堂教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.056434,30.717269,1
新华文轩出版传媒股份有限公司成都物流中心(西门),edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.059042,30.71822,1
站东小学校,edu,科教文化服务;学校;小学,成华区,104.070838,30.70952,2
亲子早教,edu,科教文化服务;培训机构;培训机构,金牛区,104.06691,30.714029,7
双水碾街道办事处市民学校,edu,科教文化服务;学校;学校,成华区,104.071676,30.71346,1
花径路社区教育工作站,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.067443,30.710451,2
沙河水文明博览馆,edu,科教文化服务;展览馆;展览馆,金牛区,104.066678,30.718621,1
顶力士送餐机器人,edu,科教文化服务;科教文化场所;科教文化场所,金牛区,104.064026,30.709593,1
纽威教育(站北北街),edu,科教文化服务;培训机构;培训机构,金牛区,104.066324,30.712697,1
琅斯教育,edu,科教文化服务;培训机构;培训机构,金牛区,104.06936,30.70938,1
博航文化传播有限公司,edu,科教文化服务;科教文化场所;科教文化场所,成华区,104.078447,30.71373,1
