community_id,name,district,center_lng,center_lat,polygon_wkt
18,兴盛家园,金牛区,104.014736,30.733359,"POLYGON ((104.0184628 30.7268088, 104.0080212 30.7289753, 104.0078173 30.7321394, 104.0127701 30.7406436, 104.0232605 30.7358393, 104.0233092 30.7357373, 104.0234776 30.7351326, 104.0227686 30.7285703, 104.0184628 30.7268088))"
19,府河星城,金牛区,104.023144,30.731009,"POLYGON ((104.0273794 30.7234068, 104.0192309 30.7299997, 104.0175107 30.7320323, 104.0161499 30.7337914, 104.0159958 30.7360164, 104.0163813 30.7360779, 104.0232605 30.7358393, 104.0313268 30.7313021, 104.0273794 30.7234068))"
20,府河丽景,金牛区,104.020946,30.73309,"POLYGON ((104.0241072 30.7275913, 104.0123523 30.7286158, 104.0122266 30.7286988, 104.0122802 30.7315492, 104.0132607 30.7366383, 104.0153562 30.7369479, 104.0158165 30.7370157, 104.0232605 30.7358393, 104.0270905 30.7331236, 104.028849 30.7315812, 104.026614 30.7285351, 104.0241072 30.7275913))"
21,府河星城名苑B区,金牛区,104.025515,30.733099,"POLYGON ((104.0241072 30.7275913, 104.0230775 30.7286258, 104.0187075 30.7330696, 104.0187235 30.7334971, 104.018886 30.7336758, 104.0232605 30.7358393, 104.0313268 30.7313021, 104.026614 30.7285351, 104.0241072 30.7275913))"
22,府河星城馨苑,金牛区,104.027235,30.731058,"POLYGON ((104.0241072 30.7275913, 104.0230775 30.7286258, 104.0220967 30.7301919, 104.0202557 30.7339561, 104.0232605 30.7358393, 104.0313268 30.7313021, 104.026614 30.7285351, 104.0241072 30.7275913))"
23,厍庭,金牛区,104.026617,30.733944,"POLYGON ((104.0241072 30.7275913, 104.0230775 30.7286258, 104.0187075 30.7330696, 104.0187235 30.7334971, 104.018886 30.7336758, 104.0232605 30.7358393, 104.0313268 30.7313021, 104.026614 30.7285351, 104.0241072 30.7275913))"
24,欢乐城198,金牛区,104.041886,30.736599,"POLYGON ((104.0456306 30.7278591, 104.0357515 30.7396588, 104.0372907 30.7438652, 104.042593 30.746593, 104.0494212 30.7352514, 104.0494856 30.7338004, 104.0456306 30.7278591))"
25,踏水新居,金牛区,104.040974,30.737925,"POLYGON ((104.0444808 30.7285536, 104.0357515 30.7396588, 104.0372907 30.7438652, 104.042593 30.746593, 104.0430049 30.7465715, 104.0457016 30.7409314, 104.0457108 30.7400783, 104.0444808 30.7285536))"
26,华侨城原岸,金牛区,104.041185,30.72974,"POLYGON ((104.0392242 30.724332, 104.0371574 30.7260475, 104.0377898 30.7286274, 104.0393739 30.7288251, 104.0407289 30.7254962, 104.0402564 30.7248504, 104.0392242 30.724332))"
27,华侨城5期,金牛区,104.043537,30.730045,"POLYGON ((104.0468991 30.7248987, 104.0405993 30.7251072, 104.0422824 30.7405312, 104.0514912 30.7284685, 104.0471311 30.7249754, 104.0468991 30.7248987))"
28,华侨城东岸,金牛区,104.041907,30.730159,"POLYGON ((104.0468991 30.7248987, 104.0405993 30.7251072, 104.0422824 30.7405312, 104.0514912 30.7284685, 104.0471311 30.7249754, 104.0468991 30.7248987))"
